dataset,modality,path,label,group_id,split
celeb_df,image,data\image\celeb_df\fake\id0_id16_0000_f000000.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0000_f000030.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0000_f000060.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0000_f000090.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0000_f000120.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0001_f000000.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0001_f000030.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0001_f000060.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0001_f000090.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0001_f000120.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0002_f000000.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0002_f000030.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0002_f000060.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0002_f000090.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0002_f000120.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0003_f000000.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0003_f000030.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0003_f000060.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0003_f000090.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0003_f000120.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0004_f000000.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0004_f000030.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0004_f000060.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0004_f000090.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0004_f000120.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0005_f000000.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0005_f000030.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0005_f000060.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0005_f000090.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0005_f000120.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0006_f000000.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0006_f000030.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0006_f000060.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0006_f000090.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0006_f000120.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0007_f000000.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0007_f000030.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0007_f000060.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0007_f000090.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0007_f000120.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0008_f000000.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0008_f000030.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0008_f000060.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0008_f000090.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0008_f000120.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0009_f000000.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0009_f000030.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0009_f000060.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0009_f000090.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id16_0009_f000120.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id17_0000_f000000.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id17_0000_f000030.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id17_0000_f000060.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id17_0000_f000090.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id17_0000_f000120.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id17_0001_f000000.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id17_0001_f000030.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id17_0001_f000060.jpg,1,fake:id0,val
celeb_df,image,data\image\celeb_df\fake\id0_id17_0001_f000090.jpg,1,fake:id0,val
